117, El Salvador,0.382,,0.29,,0.313,,0.341,,0.388,,0.396,,0.403,,0.41,,0.41,,0.41
118, Bolivia (Plurinational State of),0.528,,0.528,,0.51,,0.516,,0.526,,0.532,,0.537,,0.543,,0.546,,0.546
119, South Africa,0.532,,0.299,,0.33,,0.359,,0.443,,0.458,,0.466,,0.474,,0.475,,0.475
120, Kyrgyzstan,0.613,,0.817,,0.825,,0.848,,0.872,,0.894,,0.896,,0.897,,0.897,,0.897
121, Iraq,0.373,,0.854,,0.869,,0.888,,0.904,,0.907,,0.91,,0.914,,0.917,,0.917
122, Cabo Verde,,,0.398,,0.457,,0.488,,0.52,,0.524,,0.529,,0.536,,0.542,,0.542
123, Morocco,0.254,,0.097,,0.116,,0.146,,0.181,,0.191,,0.199,,0.201,,0.206,,0.206
124, Nicaragua,0.349,,,,,,0.424,,0.441,,0.453,,0.464,,0.475,,0.475,,0.477
125, Guatemala,0.284,,0.826,,0.888,,0.896,,0.906,,0.908,,0.907,,0.914,,0.916,,0.916
125, Namibia,0.495,,,,0.475,,0.554,,0.642,,0.648,,0.648,,0.648,,0.648,,0.652
127, Guyana,0.507,,0.232,,0.259,,0.331,,0.363,,0.369,,0.382,,0.386,,0.395,,0.395
127, Micronesia (Federated States of),,,,,0.761,,0.767,,0.795,,0.801,,0.807,,0.808,,0.808,,0.808
129, Tajikistan,0.652,,,,,,0.607,,0.65,,0.655,,0.661,,0.654,,0.655,,0.655
130, Honduras,0.355,,0.577,,0.627,,0.659,,0.668,,0.666,,0.676,,0.685,,0.691,,0.691
131, India,0.311,,0.241,,0.291,,0.347,,0.407,,0.412,,0.417,,0.422,,0.422,,0.419
132, Bhutan,,,0.48,,0.524,,0.58,,0.599,,0.603,,0.606,,0.61,,0.613,,0.613
133, Timor-Leste,,,0.581,,0.636,,0.641,,0.664,,0.668,,0.672,,0.672,,0.671,,0.672
134, Vanuatu,,,0.536,,0.568,,0.598,,0.624,,0.627,,0.631,,0.635,,0.637,,0.637
135, Congo,0.455,,0.712,,0.776,,0.792,,0.817,,0.818,,0.823,,0.852,,0.852,,0.852
135, Equatorial Guinea,,,0.632,,0.657,,0.665,,0.709,,0.719,,0.729,,0.752,,0.756,,0.756
137, Kiribati,,,0.562,,0.613,,0.669,,0.641,,0.661,,0.675,,0.699,,0.698,,0.698
138, Lao People's Democratic Republic,0.288,,0.606,,0.654,,0.717,,0.789,,0.782,,0.769,,0.769,,0.764,,0.769
139, Bangladesh,0.252,,0.662,,0.724,,0.768,,0.791,,0.799,,0.807,,0.814,,0.816,,0.816
139, Ghana,0.375,,0.239,,0.272,,0.352,,0.4,,0.413,,0.425,,0.426,,0.426,,0.426
139, Zambia,0.365,,,,,,,,0.626,,0.635,,0.643,,0.651,,0.659,,0.659
142, Sao Tome and Principe,0.323,,,,0.586,,0.594,,0.67,,0.673,,0.677,,0.647,,0.677,,0.677
143, Cambodia,0.276,,,,0.608,,0.631,,0.647,,0.65,,0.653,,0.657,,0.657,,0.657
144, Nepal,0.276,,0.604,,0.627,,0.668,,0.692,,0.696,,0.699,,0.702,,0.702,,0.702
145, Myanmar,0.244,,0.363,,0.402,,0.433,,0.459,,0.471,,0.484,,0.486,,0.489,,0.509
146, Kenya,0.376,,0.522,,0.555,,0.6,,0.681,,0.708,,0.734,,0.761,,0.768,,0.768
147, Pakistan,0.205,,0.202,,0.213,,0.263,,0.299,,0.311,,0.329,,0.343,,0.355,,0.355
148, Swaziland,0.427,,0.648,,0.677,,0.713,,0.72,,0.745,,0.741,,0.748,,0.76,,0.76
149, Syrian Arab Republic,0.417,,,,0.588,,0.621,,0.641,,0.657,,0.666,,0.67,,0.706,,0.706
150, Angola,,,0.223,,0.27,,0.311,,0.349,,0.357,,0.364,,0.372,,0.374,,0.374
